Region,Distance (mm),Bus Voltage (V),Shunt Voltage (V),Load Voltage (V),Current (mA),Power (mW),Sensor #
2,1960.59,4.86,0.63,4.86,6.20,30.00,1
2,1952.87,4.83,0.54,4.83,5.60,26.00,2
2,1941.89,4.85,0.68,4.85,6.90,32.00,3
2,1946.18,4.84,0.63,4.84,6.20,30.00,4
2,1950.81,4.85,0.63,4.85,6.00,30.00,1
2,1955.10,4.84,0.55,4.84,5.30,26.00,2
2,1940.35,4.82,0.68,4.82,6.70,32.00,3
2,1948.93,4.86,0.64,4.86,6.10,30.00,4
2,1948.41,4.84,0.63,4.84,6.30,30.00,1
2,1939.15,4.85,0.59,4.85,5.50,26.00,2
2,1937.95,4.81,0.67,4.81,6.70,32.00,3
2,1963.33,4.86,0.62,4.86,6.10,30.00,4
2,1950.98,4.84,0.62,4.84,6.00,30.00,1
2,1955.44,4.84,0.53,4.84,5.50,26.00,2
2,1936.06,4.85,0.68,4.85,6.90,32.00,3
2,1939.66,4.84,0.62,4.84,6.50,30.00,4
2,1944.12,4.86,0.59,4.86,6.10,30.00,1
2,1953.04,4.82,0.55,4.82,5.40,26.00,2
2,1938.46,4.86,0.66,4.86,6.80,32.00,3
2,1946.35,4.84,0.62,4.84,5.90,30.00,4
2,1941.04,4.86,0.65,4.86,6.10,30.00,1
2,1946.35,4.84,0.56,4.84,5.80,30.00,2
2,1939.49,4.85,0.68,4.85,7.00,32.00,3
2,1944.30,4.85,0.62,4.85,6.10,30.00,4
2,1934.18,4.84,0.62,4.84,6.20,30.00,1
2,1944.98,4.84,0.57,4.84,5.40,26.00,2
2,1928.35,4.81,0.69,4.81,6.70,32.00,3
2,1933.32,4.86,0.63,4.86,6.20,30.00,4
2,1945.32,4.84,0.62,4.84,5.90,30.00,1
2,1933.49,4.85,0.57,4.85,5.50,26.00,2
2,1927.15,4.85,0.70,4.85,6.90,32.00,3
2,1931.26,4.85,0.61,4.85,6.20,30.00,4
2,1930.75,4.85,0.64,4.85,6.00,30.00,1
2,1948.58,4.83,0.56,4.83,5.60,26.00,2
2,1925.26,4.84,0.70,4.84,6.90,32.00,3
2,1933.66,4.84,0.60,4.84,6.30,30.00,4
2,1924.57,4.86,0.62,4.86,6.00,30.00,1
2,1929.38,4.83,0.54,4.83,5.60,26.00,2
2,1945.15,4.85,0.71,4.85,6.90,32.00,3
2,1922.17,4.85,0.62,4.85,6.30,30.00,4
2,1926.80,4.85,0.62,4.85,6.10,30.00,1
2,1934.69,4.84,0.56,4.84,5.50,30.00,2
2,1942.92,4.82,0.68,4.82,6.80,32.00,3
2,1929.20,4.86,0.61,4.86,6.10,30.00,4
2,1928.86,4.84,0.61,4.84,6.30,30.00,1
2,1920.29,4.85,0.55,4.85,5.70,26.00,2
2,1922.86,4.84,0.69,4.84,6.80,32.00,3
2,1931.78,4.85,0.61,4.85,6.20,30.00,4
2,1930.92,4.86,0.61,4.86,6.00,30.00,1
2,1926.80,4.83,0.58,4.83,5.70,26.00,2
2,1924.74,4.83,0.70,4.83,6.90,32.00,3
2,1920.11,4.84,0.62,4.84,6.00,30.00,4
2,1924.06,4.86,0.64,4.86,6.20,30.00,1
2,1919.60,4.83,0.53,4.83,5.80,30.00,2
2,1918.74,4.83,0.67,4.83,6.70,32.00,3
2,1917.71,4.85,0.61,4.85,6.20,30.00,4
2,1918.06,4.84,0.63,4.84,6.40,30.00,1
2,1931.26,4.84,0.57,4.84,5.40,26.00,2
2,1920.63,4.84,0.68,4.84,6.70,32.00,3
2,1924.57,4.86,0.63,4.86,6.10,30.00,4
2,1915.14,4.84,0.62,4.84,6.10,30.00,1
2,1915.48,4.84,0.56,4.84,5.60,26.00,2
2,1931.09,4.84,0.70,4.84,6.90,32.00,3
2,1908.79,4.85,0.62,4.85,6.30,30.00,4
2,1921.83,4.86,0.60,4.86,6.00,30.00,1
2,1913.08,4.83,0.55,4.83,5.60,26.00,2
2,1915.83,4.86,0.71,4.86,7.00,32.00,3
2,1919.77,4.84,0.61,4.84,6.10,30.00,4
2,1923.03,4.86,0.63,4.86,6.10,30.00,1
2,1915.14,4.83,0.54,4.83,5.40,26.00,2
2,1908.79,4.83,0.70,4.83,6.80,32.00,3
2,1917.20,4.86,0.60,4.86,6.10,30.00,4
2,1912.91,4.84,0.61,4.84,6.10,30.00,1
2,1908.45,4.85,0.55,4.85,5.50,26.00,2
2,1915.66,4.81,0.68,4.81,6.90,32.00,3
2,1901.59,4.86,0.58,4.86,6.10,30.00,4
2,1910.51,4.84,0.62,4.84,6.20,30.00,1
2,1906.39,4.84,0.54,4.84,5.40,26.00,2
2,1908.79,4.82,0.68,4.82,7.10,32.00,3
2,1904.16,4.85,0.62,4.85,6.10,30.00,4
2,1909.31,4.86,0.62,4.86,6.10,30.00,1
2,1917.37,4.82,0.57,4.82,5.60,26.00,2
2,1906.91,4.84,0.68,4.84,6.70,32.00,3
2,1901.76,4.84,0.60,4.84,6.40,30.00,4
2,1897.30,4.86,0.61,4.86,6.20,30.00,1
2,1901.42,4.84,0.55,4.84,5.40,26.00,2
2,1900.22,4.84,0.68,4.84,7.00,32.00,3
2,1894.90,4.86,0.62,4.86,6.10,30.00,4
2,1912.40,4.84,0.61,4.84,6.10,30.00,1
2,1903.48,4.85,0.55,4.85,5.70,26.00,2
2,1896.96,4.84,0.66,4.84,6.90,32.00,3
2,1897.30,4.86,0.63,4.86,6.10,30.00,4
2,1901.25,4.84,0.61,4.84,6.00,30.00,1
2,1901.08,4.84,0.56,4.84,5.40,26.00,2
2,1899.19,4.84,0.68,4.84,6.90,32.00,3
2,1890.10,4.84,0.60,4.84,6.00,30.00,4
2,1894.39,4.86,0.61,4.86,6.10,30.00,1
